,date,price
496,1574472000,149.13899026
497,1574472300,149.1030152
498,1574472600,149.43827808
499,1574472900,149.1150735
500,1574473200,149.31
501,1574473500,148.72494881
502,1574473800,148.30729526
503,1574474100,148.74215978
504,1574474400,149.35
505,1574474700,149.72999994
506,1574475000,149.84011432
507,1574475300,149.99896536
508,1574475600,150.0727752
509,1574475900,150.07129296
510,1574476200,149.55838431
511,1574476500,149.58619993
512,1574476800,149.35823799
513,1574477100,149.53678358
514,1574477400,149.82962774
515,1574477700,149.978174
516,1574478000,150.16817514
517,1574478300,150.27376221
518,1574478600,150.39228458
519,1574478900,150.23941202
520,1574479200,150.16999999
521,1574479500,151.69697878
522,1574479800,151.05216258
523,1574480100,151.22227521
524,1574480400,151.08952853
525,1574480700,150.93751234
526,1574481000,150.93751234
527,1574481300,151.92355734
528,1574481600,151.7524916
529,1574481900,151.39035624
530,1574482200,151.75293114
531,1574482500,151.07834874
532,1574482800,150.40424195
533,1574483100,150.39392053
534,1574483400,150.75521783
535,1574483700,150.93758475
536,1574484000,150.50539709
537,1574484300,149.89178171
538,1574484600,149.89176333
539,1574484900,149.62276918
540,1574485200,149.62276918
541,1574485500,149.62276918
542,1574485800,150.25350316
543,1574486100,149.72889654
544,1574486400,149.53474742
545,1574486700,149.70999594
546,1574487000,149.80449577
547,1574487300,149.24060898
548,1574487600,150.0731194
549,1574487900,150.2483002
550,1574488200,150.32604169
551,1574488500,150.6896747
552,1574488800,150.58230368
553,1574489100,150.24458876
554,1574489400,150.07817412
555,1574489700,150.28673252
556,1574490000,150.58392252
557,1574490300,150.2911366
558,1574490600,150.49004624
559,1574490900,150.7796719
560,1574491200,150.83245732
561,1574491500,150.46826972
562,1574491800,150.56025157
563,1574492100,150.49893451
564,1574492400,151.28634705
565,1574492700,151.38999606
566,1574493000,151.01972838
567,1574493300,150.72284985
568,1574493600,150.48152187
569,1574493900,149.79524438
570,1574494200,149.90871265
571,1574494500,150.24953098
572,1574494800,149.76879392
573,1574495100,149.96762175
574,1574495400,150.28478471
575,1574495700,150.18302428
576,1574496000,150.28788647
577,1574496300,150.51512236
578,1574496600,150.72466808
579,1574496900,150.7856745
580,1574497200,150.30657698
581,1574497500,150.01241081
582,1574497800,149.7866626
583,1574498100,149.46656069
584,1574498400,149.31043618
585,1574498700,148.76783172
586,1574499000,148.71401479
587,1574499300,148.3515
588,1574499600,147.13
589,1574499900,147.61798123
590,1574500200,147.73282957
591,1574500500,147.4316038
592,1574500800,147.66395651
593,1574501100,147.71002484
594,1574501400,147.10852307
595,1574501700,147.33447045
596,1574502000,147.98956471
597,1574502300,148.69998483
598,1574502600,148.39049886
599,1574502900,147.88605127
600,1574503200,148.180428
601,1574503500,147.88935418
602,1574503800,147.42865375
603,1574504100,147.62851107
604,1574504400,147.5
605,1574504700,147.99986029
606,1574505000,149.13569642
607,1574505300,148.90527908
608,1574505600,149.20355471
609,1574505900,149.32546127
610,1574506200,149.01934561
611,1574506500,148.82942389
612,1574506800,148.78747658
613,1574507100,149.0
614,1574507400,149.11654751
615,1574507700,148.94725723
616,1574508000,148.75
617,1574508300,148.96627278
618,1574508600,148.75153138
619,1574508900,148.82476119
620,1574509200,148.74779316
621,1574509500,149.39642949
622,1574509800,149.42882936
623,1574510100,148.74761802
624,1574510400,148.34464102
625,1574510700,148.57284629
626,1574511000,148.96691802
627,1574511300,148.91340557
628,1574511600,149.05390279
629,1574511900,149.3649136
630,1574512200,149.20803239
631,1574512500,149.11213312
632,1574512800,149.24308057
633,1574513100,148.40545071
634,1574513400,148.51287036
635,1574513700,148.50579301
636,1574514000,148.776444
637,1574514300,148.79400225
638,1574514600,148.70439707
639,1574514900,148.78038585
640,1574515200,149.16423902
641,1574515500,149.1
642,1574515800,148.92
643,1574516100,149.14085038
644,1574516400,148.99999999
645,1574516700,148.92870787
646,1574517000,148.89418463
647,1574517300,148.96310533
648,1574517600,149.10785251
649,1574517900,149.54701925
650,1574518200,149.67465137
651,1574518500,149.68542609
652,1574518800,150.58635255
653,1574519100,150.45225022
654,1574519400,150.00297017
655,1574519700,150.45263371
656,1574520000,150.94463544
657,1574520300,150.66717414
658,1574520600,150.71121942
659,1574520900,151.05464633
660,1574521200,150.84326915
661,1574521500,150.62683173
662,1574521800,150.92708475
663,1574522100,151.0420341
664,1574522400,151.13107395
